byline,headline,link,summary
By DAVID E. SANGER and ERIC SCHMITT 5:00 AM ET,ISIS Proves an Elusive Target for America’s Cyberweapons,https://www.nytimes.com/2017/06/12/world/middleeast/isis-cyber.html,"The effectiveness of cyberweapons hit its limits against an enemy that exploits the internet to recruit, spread propaganda and use encrypted communications, all of which can be quickly reconstituted.
This is prompting officials to rethink how cyberwarfare techniques, first designed for fixed targets like nuclear facilities, must be refashioned."
By AL BAKER 5:00 AM ET,Opioid Addicts Find an Ally in Blue,https://www.nytimes.com/2017/06/12/nyregion/when-opioid-addicts-find-an-ally-in-blue.html,"Police leaders are assigning themselves a big role in reversing a complex crisis, and not through mass arrests."
,"Addiction Drug Lacks Results, but It Has Powerful Friends",https://www.nytimes.com/2017/06/11/health/vivitrol-drug-opioid-addiction.html,
By JIM RUTENBERG,"Trump Era, Unlike Watergate Era, Has Rival Sets of Facts",https://www.nytimes.com/2017/06/11/business/media/comey-trump-watergate.html,"Different versions of the Trump-Russia scandal are fighting for supremacy, leaving news veterans wondering, “What if Watergate happened now?”"
,Democrats Call for Sessions’s Testimony to Be Public,https://www.nytimes.com/2017/06/11/us/politics/jeff-sessions-russia-trump-attorney-general-senate.html,
,Fired U.S. Attorney Says Trump Tried to Build Relationship With Him,https://www.nytimes.com/2017/06/11/us/politics/preet-bharara-trump-contacts.html,
By REBECCA R. RUIZ and SHARON LaFRANIERE,Role of Trump’s Lawyer Blurs Public and Private Lines,https://www.nytimes.com/2017/06/11/us/politics/trump-lawyer-marc-kasowitz.html,"Marc E. Kasowitz, the president’s private lawyer, has counseled administration staff and exerted broader influence over legal strategy."
By REED ABELSON,Obamacare Repeal Limits Flexibility for Those in Transition,https://www.nytimes.com/2017/06/11/health/health-insurance-transitional-coverage.html,"People in flux because of layoffs, moves, illness or new ventures turned to the Affordable Care Act marketplaces as a stopgap, but that option may soon be gone."
By MIKE ISAAC,Uber Board Discusses a Leave for Embattled C.E.O.,https://www.nytimes.com/2017/06/11/technology/uber-holder-report.html,The board was meeting to address Travis Kalanick’s future and the recommendations of Eric H. Holder Jr.’s investigation into the company’s culture.
,,https://www.nytimes.com/2017/04/23/technology/travis-kalanick-pushes-uber-and-himself-to-the-precipice.html,
,Jeffrey Immelt to Retire as General Electric Chief 9:28 AM ET,https://www.nytimes.com/2017/06/12/business/ge-immelt.html,
,Bill Cosby Sex Assault Trial: The Defense’s Turn 5:00 AM ET,https://www.nytimes.com/2017/06/12/arts/television/bill-cosby-trial-day-6.html,
,Macron’s Party on Track to Claim Majority in Parliament,https://www.nytimes.com/2017/06/11/world/europe/france-legislative-elections-emmanuel-macron.html,
,Should Puerto Rico Be 51st State? Residents Go to Polls.,https://www.nytimes.com/2017/06/11/us/puerto-ricans-vote-on-the-question-of-statehood.html,
,"Before the Cloud, a Mine of Data",https://www.nytimes.com/video/us/100000005146128/before-the-cloud-an-underground-mine-of-physical-data.html,
By MATTHEW SHAER,"The Long, Lonely Road of Chelsea Manning",https://www.nytimes.com/2017/06/12/magazine/the-long-lonely-road-of-chelsea-manning.html,"Her disclosure of classified documents in 2010 ushered in the age of leaks. Now, freed from prison, she talks about why she did it — and the isolation that followed."
,,https://www.nytimes.com/2017/06/12/magazine/the-long-lonely-road-of-chelsea-manning.html?target=comments#commentsContainer,
By CHRIS STANFORD 8:21 AM ET,Your Monday Briefing,https://www.nytimes.com/2017/06/12/briefing/tony-awards-pittsburgh-penguins-uber.html,Here’s what you need to know to start your day.
,,https://www.nytimes.com/2017/06/12/nyregion/new-york-today-working-the-nightclub-ropes.html,
By JONAH ENGEL BROMWICH 8:30 AM ET,California Today: Talking to a Tony Winner,https://www.nytimes.com/2017/06/12/us/california-today-talking-to-a-tony-winner.html,"Plus, the anniversary of a groundbreaking music festival."
,Listen to ‘The Daily’,https://www.nytimes.com/column/the-daily,It’s all about “hope”: We discuss the one word that an obstruction of justice case could turn on.
,How to Save on Summer Travel,https://www.nytimes.com/interactive/2017/05/16/travel/frugal-traveler-summer-travel-chat.html,"Looking to save on summer travel? Our Frugal Traveler columnist answered your questions on airfares, lodging, food and more."
By LIAM STACK 5:45 AM ET,Ways Your iPhone Will Change After Apple’s iOS 11,https://www.nytimes.com/2017/06/12/smarter-living/apple-iphone-ios11.html,Apple debuted its new operating system last week. It will bring some big changes to your iPhone.
,,,
By MICHAEL PAULSON,‘Dear Evan Hansen’ Wins 6 Tonys; Midler Is Best Leading Actress,https://www.nytimes.com/2017/06/11/theater/tony-awards.html,"“Oslo” was awarded best play, but it was “Dear Evan Hansen” that had the big haul, including for best new musical. Bette Midler won for her turn in the revival of “Hello, Dolly!”"
,Television Review: An Uneven Night for Kevin Spacey as Host,https://www.nytimes.com/2017/06/12/theater/tony-awards-review-recap-kevin-spacey.html,
,Fashion Review: The Tony Awards Get the Red Carpet Blues,https://www.nytimes.com/2017/06/12/fashion/tony-awards-red-carpet-trends.html,
,Winners List | Speeches | Red Carpet Slide Show,,
By JENNIFER MEDINA,‘We Are Not Unusual Anymore’: 50 Years of Mixed-Race Marriage in U.S.,https://www.nytimes.com/2017/06/11/us/mixed-race-marriage-loving-decision-anniversary.html,"Fifty years after the landmark Supreme Court case that allowed interracial couples to marry, a California couple recall being among the first to do so."
By PETER S. GOODMAN,"Ahead of ‘Brexit,’ Britons Face Economic Pinch at Home",https://www.nytimes.com/2017/06/11/business/economy/britain-economy-election-brexit.html,"In a period of political uncertainty, Britain’s economy is slowing and consumers are grappling with rising prices."
By CATHERINE PORTER,Producing a Film in a Language Very Few Speak,https://www.nytimes.com/2017/06/11/world/americas/reviving-a-lost-language-of-canada-through-film.html,The first Haida-language feature film is being shot on Canada’s west coast. The biggest challenge? Fewer than 20 people worldwide speak Haida fluently.
